format is (<name> <TYPE>, <frequency>)
('felo de se adjornatur PERSON', 1)
('felicitas NORP', 1)
('farina within PERSON', 1)
('fairfax al PERSON', 1)
('facet praedict ab adtunc ibidem ORG', 1)
('ezra names PERSON', 1)
('eyton GPE', 1)
('eyston GPE', 1)
('extoll PRODUCT', 1)
('exhibitionis billae pried walteri ORG', 1)
('exedutionem suam PERSON', 1)
('ewe GPE', 1)
('every year one month DATE', 1)
('every thousand pounds QUANTITY', 1)
('every seven years DATE', 1)
('every quarter DATE', 1)
('every night TIME', 1)
('every morning TIME', 1)
('every fifth day DATE', 1)
('ever hundred thousand a million CARDINAL', 1)
('etiam jungitur PERSON', 1)
('etiam ab PERSON', 1)
('ethelwolf PERSON', 1)
('ethan-dun DATE', 1)
('essex cardigan-house ORG', 1)
('esq cumberland ORG', 1)
('escober molina PERSON', 1)
('errat NORP', 1)
('erit quote dominum ORG', 1)
('ere many months DATE', 1)
('erchenwin anno doom PERSON', 1)
('english mile NORP', 1)
('english french NORP', 1)
('english dutch NORP', 1)
('england whereupon ORG', 1)
('england viz th th th ORG', 1)
('england viz canute harold ORG', 1)
('england sweden PERSON', 1)
('england suffer PERSON', 1)
('england sid ORG', 1)
('england scotland ORG', 1)
("england ireland's GPE", 1)
('england hath ORG', 1)
('england harold ORG', 1)
('england france PERSON', 1)
('england ethelstan eldest ORG', 1)
('england ethelbald ORG', 1)
('england edward ORG', 1)
("england discours' FAC", 1)
("england dicours' ORG", 1)
('england anno doom PERSON', 1)
('engelandt ORG', 1)
('enclosures hills GPE', 1)
('empire par le PERSON', 1)
('emir zemla PERSON', 1)
("ely st john's ORG", 1)
('elizabetham grey PERSON', 1)
('elizabetham PERSON', 1)
("elizabeth king james's PERSON", 1)
("elizabeth king edward's PERSON", 1)
('elizabeth elizabeth PERSON', 1)
('elizabeth barton PERSON', 1)
('elfrick earl PERSON', 1)
('eleven to seven CARDINAL', 1)
('eleven millions CARDINAL', 1)
('eleven in the morning TIME', 1)
('eleven hundred thousand pounds CARDINAL', 1)
('eleven hundred CARDINAL', 1)
('eleven degrees QUANTITY', 1)
('el r h ORG', 1)
('el dobson ORG', 1)
('eighty years of age DATE', 1)
('eighty or an hundred CARDINAL', 1)
('eighty nine CARDINAL', 1)
('eighty miles QUANTITY', 1)
('eighty five CARDINAL', 1)
('eighths CARDINAL', 1)
('eighteen years old DATE', 1)
('eighteen or twenty CARDINAL', 1)
('eighteen millions CARDINAL', 1)
('eighteen days DATE', 1)
('eight years of this period DATE', 1)
('eight thousand CARDINAL', 1)
('eight or ten years of age DATE', 1)
('eight or nine yards eight QUANTITY', 1)
('eight or nine CARDINAL', 1)
('eight or CARDINAL', 1)
('eight inches QUANTITY', 1)
('eight in the evening TIME', 1)
('eight hours TIME', 1)
("eggleston al' PERSON", 1)
('egbert marquess PERSON', 1)
('edwin mesh PERSON', 1)
('edwin bishop PERSON', 1)
('edwin ORG', 1)
('edwards PERSON', 1)
('edward vaughan PERSON', 1)
('edward thirteenth sole monarch ORG', 1)
('edward seymour PERSON', 1)
('edward selwyn esq PERSON', 1)
('edward russell esq PERSON', 1)
('edward russel PERSON', 1)
('edward plowden ORG', 1)
('edward plantagenet eldest ORG', 1)
('edward patrick PERSON', 1)
('edward norton PERSON', 1)
('edward nevile knight PERSON', 1)
('edward nevile PERSON', 1)
('edward montague PERSON', 1)
('edward mansel PERSON', 1)
('edward kinnaston PERSON', 1)
('edward king PERSON', 1)
('edward kinaston PERSON', 1)
('edward howard youngest PERSON', 1)
('edward hern PERSON', 1)
("edward henry's PERSON", 1)
('edward henry PERSON', 1)
('edward harris PERSON', 1)
('edward harley PERSON', 1)
('edward hales PERSON', 1)
('edward fawkener PERSON', 1)
('edward ethelstane ORG', 1)
('edward edward richard nu PERSON', 1)
('edward dering PERSON', 1)
('edward dallingredge warden PERSON', 1)
('edward cecil PERSON', 1)
('edward boughton PERSON', 1)
('edward boscowen PERSON', 1)
('edward boscawen PERSON', 1)
('edward blackwell PERSON', 1)
('edward bayliol PERSON', 1)
('edward allen PERSON', 1)
('edmonton PERSON', 1)
('edington king alfred ORG', 1)
('edinburgh novem PERSON', 1)
('edi ORG', 1)
('edgar king PERSON', 1)
('edesin PERSON', 1)
('ederick ORG', 1)
('ed rot PERSON', 1)
('ed r h PERSON', 1)
('ed nu PERSON', 1)
('ed f PERSON', 1)
('ed ed PERSON', 1)
('ed e e PERSON', 1)
('ed cole PERSON', 1)
('ed cap f PERSON', 1)
('ed calamy PERSON', 1)
('ed and h ORG', 1)
('eccleston GPE', 1)
('ecclesiae canonico price ORG', 1)
('earth french NORP', 1)
('early in the morning TIME', 1)
('earl warren PERSON', 1)
('earl randdulph PERSON', 1)
("earl goodwin's PERSON", 1)
('earl bothwell ORG', 1)
('earl bothwel PERSON', 1)
('each day DATE', 1)
('duxit etiam PERSON', 1)
('dutton coxton FAC', 1)
('duobus malis PERSON', 1)
('duo breveia PERSON', 1)
('dunstaburg castle PERSON', 1)
('dungevora PERSON', 1)
('duncomb PERSON', 1)
('dun PERSON', 1)
('dumbton GPE', 1)
('dudley digs PERSON', 1)
('ducis glocestriae PERSON', 1)
('dublin ss memorandum quote ORG', 1)
("dublin nuper emanen' PERSON", 1)
('dublin foot company FAC', 1)
('dublin brave suum clausum FAC', 1)
('dublin brave suum clasum ORG', 1)
('duae de PERSON', 1)
('drogheda earl PERSON', 1)
('drawcansyr baboon PERSON', 1)
("dr willis's PERSON", 1)
('dr kempfer PERSON', 1)
('dr harris PERSON', 1)
("dr burnett's PERSON", 1)
('dr bastwick PERSON', 1)
('dozen CARDINAL', 1)
('downton PERSON', 1)
('douglas thomas earl PERSON', 1)
('douglas earl PERSON', 1)
('dorsetshire thomas PERSON', 1)
('dorrel PERSON', 1)
('dormat-mac-mahur ORG', 1)
('donnegall earl PERSON', 1)
('don marco PERSON', 1)
('don john PERSON', 1)
('don francisco de esquevel PERSON', 1)
('domini regis PERSON', 1)
('domini nuper PERSON', 1)
('domini isto eodem ORG', 1)
('doctori cum culpa ORG', 1)
('dixit ORG', 1)
('dixer PERSON', 1)
('dixer GPE', 1)
('diversas NORP', 1)
('divers years last DATE', 1)
('divers years DATE', 1)
('dilliston hill PERSON', 1)
('difficilis probationis PERSON', 1)
('detegitur PERSON', 1)
('desmond earl PERSON', 1)
('deserv PERSON', 1)
('describ GPE', 1)
('denz onslow esq PERSON', 1)
('denotari PERSON', 1)
('denmark GPE', 1)
('denby wormleighton PERSON', 1)
('demolish haddington PERSON', 1)
('delamer earl PERSON', 1)
('decade lib PERSON', 1)
('debet ORG', 1)
('dean goodwin PERSON', 1)
('de w PERSON', 1)
("de scire fac' ORG", 1)
('de remedio PERSON', 1)
('de quodam debito quote item PERSON', 1)
('de quodam debito PERSON', 1)
('de prince van orange p p dat ORG', 1)
('de jure bell ORG', 1)
('de enema PERSON', 1)
('de du PERSON', 1)
('dawson dorrington PERSON', 1)
('david sawtree PERSON', 1)
('david fowls PERSON', 1)
("david burgh's PERSON", 1)
('darlington GPE', 1)
('dans NORP', 1)
('daniel tunc PERSON', 1)
('daniel sheldon PERSON', 1)
('daniel nehemiah PERSON', 1)
('daniel hutchinson PERSON', 1)
('daniel axtell PERSON', 1)
('dangerfield ORG', 1)
('curiam nostram PERSON', 1)
('curiam domini PERSON', 1)
('cum tribus ingentibus ORG', 1)
('cum quaestionibus ORG', 1)
('cum psalterio seu ORG', 1)
('cum omnibus ea ORG', 1)
('cum observationibus ORG', 1)
('cum moralise ORG', 1)
('cum minoribus ORG', 1)
("cum inde requisit' ORG", 1)
('cuique quote suum est ORG', 1)
('cstl ORG', 1)
('cruelties ORDINAL', 1)
('crown ORG', 1)
('crook PERSON', 1)
('cremona ORG', 1)
('crediton ORG', 1)
('craven ragley ORG', 1)
('craven feckenham lodge ORG', 1)
('craggy hills PERSON', 1)
('crackanthorpi logica PERSON', 1)
('cozener hill ORG', 1)
("corrigendo fieri fac' ORG", 1)
('cornwall st petrocus at ORG', 1)
('cornwall francis roberts PERSON', 1)
('cornabij NORP', 1)
('coram dicto nuper rege FAC', 1)
('coquille ORG', 1)
('copernican NORP', 1)
('cook PERSON', 1)
('consult guicciardine PERSON', 1)
('consuetudinibus ORG', 1)
('constituit consessorem PERSON', 1)
('consimilis monet PERSON', 1)
('consiliario nostro ORG', 1)
('conquorer ORG', 1)
('conjunctae GPE', 1)
('concutiunt ORG', 1)
('communibus GPE', 1)
('commorantiae ORG', 1)
("colson al' PERSON", 1)
('collocatum sacer ORG', 1)
('cockermouth ORG', 1)
('clogher bishopric of conner bishopric ORG', 1)
('clipp ng PERSON', 1)
('clifton dartmouth hardness ORG', 1)
('clifton PERSON', 1)
('cleveland-house ORG', 1)
('claxton versus swift hill ORG', 1)
('claxton versus swift coghil ORG', 1)
('clarlton PERSON', 1)
('clarendon PERSON', 1)
('clarendon GPE', 1)
('clarendon DATE', 1)
('clanrickard thomond PERSON', 1)
('clanriccard earl PERSON', 1)
('clanbrazil earl PERSON', 1)
('civitas NORP', 1)
('civit lib PERSON', 1)
("civit dublin direct' PERSON", 1)
('christopher milton PERSON', 1)
('christopher blunt PERSON', 1)
('christmas-day DATE', 1)
('christmas day DATE', 1)
('christmas DATE', 1)
('chipingnorton GPE', 1)
('chicheley knight chester PERSON', 1)
('chevereux ORG', 1)
('chesterfield shirley ORG', 1)
('cherbury ORG', 1)
('chengie porto novo PERSON', 1)
('charlton serenissimi PERSON', 1)
('charles-street ORG', 1)
('charles windham knight PERSON', 1)
('charles who PERSON', 1)
('charles west esq PERSON', 1)
('charles vvyndham knight PERSON', 1)
('charles thefifth PERSON', 1)
("charles the 's PERSON", 1)
('charles steuart PERSON', 1)
('charles somerset PERSON', 1)
('charles parrot PERSON', 1)
('charles orme PERSON', 1)
('charles lucas PERSON', 1)
('charles lessor PERSON', 1)
('charles kelland PERSON', 1)
('charles john PERSON', 1)
('charles howard esq PERSON', 1)
('charles heveningham PERSON', 1)
('charles godolphin PERSON', 1)
('charles gaudy knight PERSON', 1)
('charles gataker PERSON', 1)
('charles fox esq PERSON', 1)
('charles duke PERSON', 1)
('charles dorves PERSON', 1)
('charles cranburn PERSON', 1)
("charles cotterell's PERSON", 1)
('charles caesar knight PERSON', 1)
('charles caesar PERSON', 1)
('charles brandon viscount PERSON', 1)
('charles battle PERSON', 1)
('charles baldwin PERSON', 1)
('ch berkley PERSON', 1)
('ceur de leon ORG', 1)
('certiorari ORG', 1)
('celerem justiciam fieri PERSON', 1)
("ceas'thow DATE", 1)
('cavan earl PERSON', 1)
('causidici nova cum ORG', 1)
('causam vel rationem PERSON', 1)
('causam religionis PERSON', 1)
('causa jactationis maritagii PERSON', 1)
("cato desir' ORG", 1)
('cato ORG', 1)
('catalonia GPE', 1)
('castro palata escober ORG', 1)
('castlehaven earl PERSON', 1)
('castle-haven ORG', 1)
('castle-dennis ORG', 1)
('casholton kingston PERSON', 1)
('carter PERSON', 1)
('carlingford earl PERSON', 1)
('capitol justice ORG', 1)
('capitol ORG', 1)
('capias justice allybon ORG', 1)
('cape comoron ORG', 1)
('canoe PERSON', 1)
('candlestick FAC', 1)
('canc sid poph ORG', 1)
('cambodia GPE', 1)
('cambasan sura PERSON', 1)
('caly GPE', 1)
('callis ORG', 1)
('caisho-berry ORG', 1)
('cairo GPE', 1)
('cablan ORG', 1)
('caba PERSON', 1)
('burnett PERSON', 1)
('burgundy PERSON', 1)
('burgundy ORG', 1)
('burgess LOC', 1)
('bungundie PERSON', 1)
('bullinbrooks ORG', 1)
('bueff PERSON', 1)
('buckinghamshire GPE', 1)
('buckinghams albemarle-house ORG', 1)
('buckingham richard FAC', 1)
('buckingham christopher FAC', 1)
('bry st ORG', 1)
('brumley hamstal ridware ORG', 1)
('bruce thomas bennet PERSON', 1)
('bruce thomas PERSON', 1)
('bristol hinton st george court ORG', 1)
('brian stappleton PERSON', 1)
("brevium de scire fac' ORG", 1)
('brevibus de scire face mentionat adjudicari ORG', 1)
('brett GPE', 1)
('brereton st ledger PERSON', 1)
('brazil GPE', 1)
('brandenburgh GPE', 1)
('brama GPE', 1)
('brackley richard vvenman esq ORG', 1)
('brackley ORG', 1)
('bowmorris henry bukeley esq LOC', 1)
('bosworth henry GPE', 1)
('boson PERSON', 1)
('borinne GPE', 1)
('bordeaux richard FAC', 1)
('bontius vera cum gloria praedicare non dubito antistitem alexipharmacorum ORG', 1)
('bonley dunham PERSON', 1)
('boniface PERSON', 1)
('boneventum GPE', 1)
('bombay GPE', 1)
('bolton john PERSON', 1)
('bolton halifax-house ORG', 1)
('bolton ORG', 1)
('bolonia GPE', 1)
('bocton-malberb PERSON', 1)
('bll PERSON', 1)
('blackwell hall ORG', 1)
('birmingham coursey kerry PERSON', 1)
('bin the end of PERSON', 1)
('bill se PERSON', 1)
('bilge lib PERSON', 1)
('bewley GPE', 1)
('between two and three years DATE', 1)
('between two and three thousand pounds DATE', 1)
('between two and three CARDINAL', 1)
('between thirty four and thirty CARDINAL', 1)
('between ten and eleven years old DATE', 1)
('between four and five hundred miles CARDINAL', 1)
('better quality nobler ORG', 1)
('betray england ORG', 1)
('besides PERSON', 1)
('berkley PERSON', 1)
('bergen ORG', 1)
('bensington GPE', 1)
('benjamin hinton PERSON', 1)
('benidict lman PERSON', 1)
('bella nullos habitura PERSON', 1)
('belgia frizia and england ORG', 1)
('behav ORG', 1)
('beggar rich ORG', 1)
('beaumont GPE', 1)
('beauley abbey PERSON', 1)
('be PERSON', 1)
('bay salt PERSON', 1)
('bawden GPE', 1)
('bassett hobs PERSON', 1)
('bartholomew harris PERSON', 1)
('barrymore earl PERSON', 1)
('barren hills GPE', 1)
('barnwell castle PERSON', 1)
('barethe hills GPE', 1)
('barberry egypt GPE', 1)
('bantrey-bay TIME', 1)
('banquett GPE', 1)
('bannian NORP', 1)
('bank of england ORG', 1)
('banco regis marsh ORG', 1)
("banco regis gubernator associates mercator' de london ORG", 1)
('banco regis earl ORG', 1)
('banco regis coram georgio ORG', 1)
('banco regis coram ORG', 1)
('balsam PERSON', 1)
('backlow hill pierce FAC', 1)
('axon ORG', 1)
('awnsham churchill ORG', 1)
('aventine lib PERSON', 1)
('autumn DATE', 1)
('austrians NORP', 1)
('austrian NORP', 1)
("aureng-zebeaureng-zebe's PERSON", 1)
("auren-zebe's ORG", 1)
('august next years DATE', 1)
('august and september DATE', 1)
('augeri oportet PERSON', 1)
('audley mervin PERSON', 1)
('audley earl PERSON', 1)
('atolians NORP', 1)
('athenian NORP', 1)
('at least two months DATE', 1)
('at least two CARDINAL', 1)
('at least to CARDINAL', 1)
('at least three CARDINAL', 1)
('at least six hundred and fifty thousand pounds CARDINAL', 1)
('at least six CARDINAL', 1)
('at least one hundred CARDINAL', 1)
('at least one half DATE', 1)
('at least one day DATE', 1)
('at least five hundred CARDINAL', 1)
('at least five CARDINAL', 1)
('at least eighty CARDINAL', 1)
('at least a years DATE', 1)
('astutiam PERSON', 1)
('astrologian bradwarden PERSON', 1)
('aspernando repetuntur PERSON', 1)
('asia afford LOC', 1)
('ashburton tiverton beralston PERSON', 1)
('ashburton GPE', 1)
('arthur anno PERSON', 1)
('arthur a norman ORG', 1)
('arras GPE', 1)
('arracansiriam PERSON', 1)
('arracan NORP', 1)
('arms quarter DATE', 1)
('armagon pecana PERSON', 1)
('arglass earl PERSON', 1)
('argenton GPE', 1)
('arco ORG', 1)
('archibald johnson PERSON', 1)
('archibald earl PERSON', 1)
('arabic LANGUAGE', 1)
('arab NORP', 1)
('ara misericordiae PERSON', 1)
('aqua quae PERSON', 1)
('aqua cujusdam PERSON', 1)
('aqua ab PERSON', 1)
('apud parochiam sancti PERSON', 1)
('april or later DATE', 1)
('april every day DATE', 1)
('approbatas ORG', 1)
('apparell ORG', 1)
('anthropo NORP', 1)
('anthony parker PERSON', 1)
('anthony kingston PERSON', 1)
('anthony grey earl PERSON', 1)
('anthony earl PERSON', 1)
('another years DATE', 1)
('another twenty eight CARDINAL', 1)
('another million to CARDINAL', 1)
('another million CARDINAL', 1)
('another day DATE', 1)
('another cold spring DATE', 1)
('annually a day DATE', 1)
('anno primo PERSON', 1)
('anno gulielmi PERSON', 1)
('anno corpus PERSON', 1)
('anno PERSON', 1)
('anne youngest PERSON', 1)
('anne r f PERSON', 1)
('anne one PERSON', 1)
('anne jones PERSON', 1)
('anne boleine PERSON', 1)
('anne PERSON', 1)
('ann reg ORG', 1)
('anglicana GPE', 1)
('anglia sparsum est ORG', 1)
('anglia primo PERSON', 1)
('anglia fratris nostro PERSON', 1)
('anglesey montgomeryshire PERSON', 1)
('andrew jude PERSON', 1)
('andrew harkly PERSON', 1)
('andover GPE', 1)
('and york GPE', 1)
('anatomica quedam de varies ORG', 1)
('analys scholiis PERSON', 1)
('analys PERSON', 1)
('an island years DATE', 1)
('an hundred years DATE', 1)
('an hundred to one CARDINAL', 1)
('an hundred thousand pounds CARDINAL', 1)
('an hundred thousand ducats CARDINAL', 1)
('an hundred pounds MONEY', 1)
('an hundred pound QUANTITY', 1)
('an hundred or two CARDINAL', 1)
('an hundred eighty five CARDINAL', 1)
('an hundred and twenty miles CARDINAL', 1)
('an hundred and sixty thousand CARDINAL', 1)
('an hundred and fifty thousand pounds CARDINAL', 1)
('an hours TIME', 1)
('an end to DATE', 1)
('amwel-spring DATE', 1)
('amazonian NORP', 1)
('alwin PERSON', 1)
('alva ORG', 1)
('alto mente repostum PERSON', 1)
('alto mente PERSON', 1)
('altham vaughan PERSON', 1)
('alnewick PERSON', 1)
('almost whole nights DATE', 1)
('almost twenty years DATE', 1)
('almost twenty CARDINAL', 1)
('almost six years DATE', 1)
('almost half an hour TIME', 1)
('almost as many thousands CARDINAL', 1)
('almost a years DATE', 1)
('almost a hundred CARDINAL', 1)
('almost a four months DATE', 1)
('allington-house ORG', 1)
('allibon PERSON', 1)
('allan bellingham PERSON', 1)
('all the year three and thirty DATE', 1)
('all the year after twelve days DATE', 1)
('all the days DATE', 1)
('all days DATE', 1)
('all britain years DATE', 1)
('aliqua parochia sive PERSON', 1)
('alias lowick PERSON', 1)
('alias bridgenorth PERSON', 1)
('alia PERSON', 1)
('alexander mac PERSON', 1)
('alex ab alex PERSON', 1)
('albert gentile PERSON', 1)
('albemarle earl PERSON', 1)
('albemarle ORG', 1)
('albemar PERSON', 1)
('alban ORG', 1)
('alanson anthony duke ORG', 1)
('al seasonable times ORG', 1)
('al esq carnarvan PERSON', 1)
('ahabs NORP', 1)
('agron ORG', 1)
("agricola nero's ORG", 1)
('agnese NORP', 1)
('africa st helena johanna LOC', 1)
('africa spain LOC', 1)
('aforesaid dorrington PERSON', 1)
('affront ORG', 1)
('aequalem PERSON', 1)
('adornavit thomas johnson PERSON', 1)
('adjudicari ORG', 1)
('adjacentibus PERSON', 1)
('ada ORG', 1)
('ad quem diem coram ORG', 1)
('acton wilsdon PERSON', 1)
('actirish NORP', 1)
('acquir ORG', 1)
('accurs ORG', 1)
('accesserunt ORG', 1)
("ac judic' PERSON", 1)
('ac ibidem de record PERSON', 1)
('abundantiam aqua PERSON', 1)
('abu becre ORG', 1)
('abraham navarra PERSON', 1)
('above three hundred CARDINAL', 1)
('above thousand pounds QUANTITY', 1)
('above nine or ten CARDINAL', 1)
('above hundred thousand pounds CARDINAL', 1)
('above half CARDINAL', 1)
('above an hundred years DATE', 1)
('above a million and CARDINAL', 1)
('about years ago DATE', 1)
('about two hundred years DATE', 1)
('about two hundred thousand pounds CARDINAL', 1)
('about two days DATE', 1)
('about two CARDINAL', 1)
('about twenty five miles QUANTITY', 1)
('about twelve years of age DATE', 1)
('about twelve years DATE', 1)
('about twelve foot QUANTITY', 1)
('about three years ago DATE', 1)
('about three years DATE', 1)
('about three weeks DATE', 1)
('about three months DATE', 1)
('about three miles QUANTITY', 1)
('about three hundred and seventy thousand pounds CARDINAL', 1)
('about three hours TIME', 1)
('about thirty miles QUANTITY', 1)
('about thirty five years DATE', 1)
('about the years DATE', 1)
('about the year DATE', 1)
('about the month of september DATE', 1)
('about ten years of age DATE', 1)
('about ten thousand CARDINAL', 1)
('about ten days DATE', 1)
('about sixteen inches square QUANTITY', 1)
('about six years DATE', 1)
('about six or CARDINAL', 1)
('about six hundred CARDINAL', 1)
('about six foot QUANTITY', 1)
('about six CARDINAL', 1)
('about seven years DATE', 1)
('about seven thousand CARDINAL', 1)
('about seven miles QUANTITY', 1)
('about seven CARDINAL', 1)
('about or DATE', 1)
('about one hundred thousand CARDINAL', 1)
('about one hundred CARDINAL', 1)
('about nineteen CARDINAL', 1)
('about nine years DATE', 1)
('about nine months and nine days DATE', 1)
('about nine months DATE', 1)
('about nine CARDINAL', 1)
('about half CARDINAL', 1)
('about fourteen years DATE', 1)
('about four days DATE', 1)
('about forty pounds QUANTITY', 1)
('about five years DATE', 1)
('about five months DATE', 1)
('about five hundred thousand pounds CARDINAL', 1)
('about five foot QUANTITY', 1)
('about fifty years ago DATE', 1)
('about fifty years DATE', 1)
('about eleven CARDINAL', 1)
('about eighty years DATE', 1)
('about eighty miles QUANTITY', 1)
('about eighteen pounds QUANTITY', 1)
('about eight months DATE', 1)
('about dollars MONEY', 1)
('about an hundred miles QUANTITY', 1)
('about an hundred foot QUANTITY', 1)
('about an hundred and twenty CARDINAL', 1)
('about an hour TIME', 1)
('about a thousand or fifteen hundred pounds CARDINAL', 1)
('about a third CARDINAL', 1)
('about a month DATE', 1)
('about a minute TIME', 1)
('about a million and CARDINAL', 1)
('about a hundred years DATE', 1)
('about a hundred CARDINAL', 1)
('about a dozen CARDINAL', 1)
('abbey PERSON', 1)
('ab uno ad aliud ORG', 1)
('ab unico ORG', 1)
('ab republic GPE', 1)
("ab nuper de parochia sancti jacobi westm' ORG", 1)
('a whole year DATE', 1)
('a thousand marks MONEY', 1)
('a solemn day DATE', 1)
('a single penny MONEY', 1)
('a single CARDINAL', 1)
('a scaffold seven hours TIME', 1)
('a quarter of an hour DATE', 1)
('a quarter of an hour CARDINAL', 1)
('a quarter of a year one DATE', 1)
('a quarter CARDINAL', 1)
('a plaguy year DATE', 1)
('a hundred thousand pounds QUANTITY', 1)
('a hundred per cent MONEY', 1)
('a hundred or two hundred CARDINAL', 1)
('a hundred french CARDINAL', 1)
('a few more years DATE', 1)
('a few days thousands DATE', 1)
('a fatal hour TIME', 1)
('a days DATE', 1)
('a day viz wodensday now DATE', 1)
('a day in the week DATE', 1)
('a day a month or a year old DATE', 1)
('a canonical hour TIME', 1)
('a a year DATE', 1)
('', 1)
