format is (<name> <TYPE>, <frequency>)
('recitari debent ORG', 4)
('quibus praesertim ORG', 4)
('quibus omnis NORP', 4)
('quibus continentur LOC', 4)
('quibus adjiciuntur hac ORG', 4)
('quarto jacobi PERSON', 4)
('quanta GPE', 4)
('qua sententiam PERSON', 4)
('qua earum GPE', 4)
('propria pluribus GPE', 4)
('promovenda ORG', 4)
('produce s PERSON', 4)
('privy council ORG', 4)
('presbyterians NORP', 4)
('praecepta doctrine PERSON', 4)
('platina PERSON', 4)
('physicis opera PERSON', 4)
('peter du-moulin PERSON', 4)
('perian NORP', 4)
('pembelo PERSON', 4)
('patribus ORG', 4)
('oxford opuscula mythologica ethica ORG', 4)
('oxford musica ORG', 4)
('owen feltham ORG', 4)
('our years DATE', 4)
('origenian NORP', 4)
('one thousand CARDINAL', 4)
('one hundred and fifty CARDINAL', 4)
('obitum GPE', 4)
('novembris GPE', 4)
('notulis durationis PERSON', 4)
('nob lotharingi de PERSON', 4)
('nine pounds QUANTITY', 4)
('nihil PERSON', 4)
('nicholas tartagia PERSON', 4)
('nicholas s steno PERSON', 4)
('naturalem promovendam institute ORG', 4)
('narratio historica ORG', 4)
('mundi phenomenon PERSON', 4)
('morocco GPE', 4)
('monmouth GPE', 4)
('mocha PERSON', 4)
('mirabilis GPE', 4)
('milton price PERSON', 4)
('milan GPE', 4)
('michaelis anno doom PERSON', 4)
('michael nostrodamus PERSON', 4)
('michael PERSON', 4)
('mercator de london PERSON', 4)
('mensuris sacris PERSON', 4)
('melinda PERSON', 4)
('may ending april DATE', 4)
('mathematica GPE', 4)
('martin mar PERSON', 4)
('martha taylor PERSON', 4)
('many hundred CARDINAL', 4)
('mans NORP', 4)
('malachia truston PERSON', 4)
('mac nemarras PERSON', 4)
('ludgate hill ORG', 4)
('lucasiano necnon PERSON', 4)
('londini PERSON', 4)
('liturgy seu liber PERSON', 4)
('linguis exponens cui PERSON', 4)
('libras ORG', 4)
('lib price PRODUCT', 4)
('less than three thousand CARDINAL', 4)
('last winter DATE', 4)
('knight PERSON', 4)
('k james k charles PERSON', 4)
('joseph moxon price PERSON', 4)
('joseph bampfeild PERSON', 4)
('john wiblin PERSON', 4)
('john web PERSON', 4)
('john vvagstaf PERSON', 4)
('john simpson PERSON', 4)
('john robinson PERSON', 4)
('john playford price PERSON', 4)
('john maurice PERSON', 4)
('john luton PERSON', 4)
('john huss PERSON', 4)
('john hotham PERSON', 4)
('john gerard PERSON', 4)
('john crosby PERSON', 4)
('john cooker price sticht s PERSON', 4)
('john cleveland PERSON', 4)
('john carew PERSON', 4)
('john borlace PERSON', 4)
('john allen PERSON', 4)
('john PERSON', 4)
('johanne wallis s s th geometricae PERSON', 4)
('johanne pearson s PERSON', 4)
('johanne durello PERSON', 4)
('james marquess PERSON', 4)
('james magnus PERSON', 4)
('jacobo PERSON', 4)
('indicibus ORG', 4)
('hydrostatica novice ORG', 4)
('horto regio ORG', 4)
('henry wallop PERSON', 4)
('henry spelman PERSON', 4)
('henry phillips PERSON', 4)
('henry million PERSON', 4)
('henry francis PERSON', 4)
('henry cornelius agrippa PERSON', 4)
('henry GPE', 4)
('half a million CARDINAL', 4)
('haeresi vorstianae PERSON', 4)
('h hills GPE', 4)
('gratia anglia scotiae franciae ORG', 4)
('gornhil GPE', 4)
('goodwin earl PERSON', 4)
('globo nostro supposito ORG', 4)
('george mechanzie PERSON', 4)
('george carey PERSON', 4)
('frederick PERSON', 4)
('francis winnington PERSON', 4)
('francis gouldman PERSON', 4)
('fourteen years DATE', 4)
('four or five hundred CARDINAL', 4)
('four hundred and twenty thousand pounds CARDINAL', 4)
('fort st george bombay FAC', 4)
('five whole years DATE', 4)
('five thousand CARDINAL', 4)
('five hundred ton QUANTITY', 4)
('five days DATE', 4)
('fifty miles QUANTITY', 4)
('fifteen pence MONEY', 4)
('fifteen ounces QUANTITY', 4)
('fairfax GPE', 4)
('ezekielis NORP', 4)
('excerpta quaedam PERSON', 4)
('examon arminianismi conscriptum PERSON', 4)
('every half acre QUANTITY', 4)
('evangelium s johannis proemittur disquisitio ORG', 4)
('espy ORG', 4)
('epistolica de bombice PRODUCT', 4)
('english metre LOC', 4)
('england ireland GPE', 4)
('ell ORG', 4)
('elizabetham de debito PERSON', 4)
('elizabeth king PERSON', 4)
('eighty pound QUANTITY', 4)
('eighteenth ORDINAL', 4)
('eighteen pounds QUANTITY', 4)
('eight months DATE', 4)
('edward howard esq PERSON', 4)
('edward brewester PERSON', 4)
('edward blunt PERSON', 4)
('edward bagshaw PERSON', 4)
('edmond waller PERSON', 4)
('edmond le butler PERSON', 4)
('each year DATE', 4)
('ducis albemarle price PERSON', 4)
('ducis albemarle PERSON', 4)
('dr burnett PERSON', 4)
('dorril PERSON', 4)
('donne late dean PERSON', 4)
('distinctionibus ORG', 4)
('disputationibus ORG', 4)
('dicto PERSON', 4)
('de recordo PERSON', 4)
('de motu musculari PERSON', 4)
('daniel brown PERSON', 4)
('cumberland GPE', 4)
('couleii GPE', 4)
('construendi logarithmos PERSON', 4)
('con mucho reason ORG', 4)
('complexus ORG', 4)
('commonwealth ORG', 4)
('commentariorum de epicteti PERSON', 4)
